time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.68000000,-6.91265722,-5.42718056,1.40777224,-0.50898313,-0.57656905,-0.37882883,0.25235389,-0.14770696,0.03813890,0.86043190,-0.48927171,0.13115776,1.25227212,-0.62692719,0.19752259,0.70695690,0.01435803,0.00375418,0.70710091,0.08692520,-0.04944352,-0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.70000000,-6.92278525,-5.43874214,1.40020347,-0.50376232,-0.57962187,-0.37803956,0.26980975,-0.15761549,0.04080110,0.88499107,-0.50146509,0.13503943,1.20330345,-0.59222549,0.19059244,0.70694590,0.01533527,0.00402366,0.70708990,0.08934636,-0.05064096,-0.00000016,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.72000000,-6.93280535,-5.45036678,1.39265102,-0.49818753,-0.58287525,-0.37719627,0.28774687,-0.16776087,0.04353953,0.90855099,-0.51295373,0.13877943,1.15237851,-0.55647322,0.18335927,0.70693386,0.01633745,0.00430169,0.70707786,0.09166097,-0.05176412,-0.00000018,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.74000000,-6.94271033,-5.46205852,1.38511599,-0.49224937,-0.58633379,-0.37629749,0.30614488,-0.17812881,0.04635130,0.93107436,-0.52371781,0.14237196,1.09967715,-0.51978904,0.17584921,0.70692074,0.01736326,0.00458803,0.70706473,0.09386530,-0.05281107,-0.00000019,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.76000000,-6.95249284,-5.47382152,1.37759950,-0.48593881,-0.59000179,-0.37534175,0.32498270,-0.18870463,0.04923339,0.95252740,-0.53373984,0.14581172,1.04537310,-0.48228729,0.16808755,0.70690649,0.01841137,0.00488241,0.70705049,0.09595600,-0.05378010,-0.00000020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.78000000,-6.96214534,-5.48566002,1.37010271,-0.47924727,-0.59388326,-0.37432770,0.34423863,-0.19947335,0.05218271,0.97287972,-0.54300458,0.14909395,0.98963405,-0.44407805,0.16009869,0.70689110,0.01948040,0.00518460,0.70703509,0.09793013,-0.05466977,-0.00000021,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.80000000,-6.97166014,-5.49757830,1.36262679,-0.47216662,-0.59798191,-0.37325402,0.36389037,-0.21041968,0.05519607,0.99210427,-0.55149895,0.15221432,0.93262179,-0.40526721,0.15190622,0.70687451,0.02056895,0.00549432,0.70701850,0.09978508,-0.05547889,-0.00000023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.82000000,-6.98102936,-5.50958076,1.35517295,-0.46468917,-0.60230113,-0.37211945,0.38391513,-0.22152810,0.05827018,1.01017715,-0.55921194,0.15516899,0.87449236,-0.36595659,0.14353290,0.70685671,0.02167559,0.00581128,0.70700070,0.10151862,-0.05620646,-0.00000024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.84000000,-6.99024501,-5.52167184,1.34774243,-0.45680769,-0.60684401,-0.37092283,0.40428964,-0.23278289,0.06140170,1.02707752,-0.56613454,0.15795457,0.81539608,-0.32624403,0.13500068,0.70683768,0.02279888,0.00613521,0.70698166,0.10312885,-0.05685174,-0.00000026,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.86000000,-6.99929893,-5.53385603,1.34033646,-0.44851541,-0.61161332,-0.36966303,0.42499029,-0.24416817,0.06458722,1.04278751,-0.57225965,0.16056810,0.75547776,-0.28622341,0.12633073,0.70681739,0.02393736,0.00646581,0.70696137,0.10461420,-0.05741418,-0.00000027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.88000000,-7.00818285,-5.54613790,1.33295633,-0.43980606,-0.61661150,-0.36833900,0.44599311,-0.25566792,0.06782326,1.05729208,-0.57758202,0.16300702,0.69487673,-0.24598483,0.11754345,0.70679583,0.02508953,0.00680278,0.70693980,0.10597344,-0.05789344,-0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.90000000,-7.01688836,-5.55852203,1.32560334,-0.43067383,-0.62184069,-0.36694978,0.46727385,-0.26726607,0.07110632,1.07057892,-0.58209816,0.16526919,0.63372701,-0.20561460,0.10865848,0.70677300,0.02625392,0.00714581,0.70691697,0.10720562,-0.05828938,-0.00000030,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.92000000,-7.02540695,-5.57101308,1.31827878,-0.42111342,-0.62730269,-0.36549446,0.48880808,-0.27894646,0.07443284,1.08263836,-0.58580628,0.16735283,0.57215740,-0.16519538,0.09969472,0.70674888,0.02742904,0.00749458,0.70689284,0.10831009,-0.05860204,-0.00000032,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.94000000,-7.03373000,-5.58361570,1.31098400,-0.41111998,-0.63299899,-0.36397220,0.51057116,-0.29069293,0.07779923,1.09346325,-0.58870618,0.16925657,0.51029156,-0.12480624,0.09067033,0.70672349,0.02861338,0.00784878,0.70686744,0.10928650,-0.05883164,-0.00000033,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.96000000,-7.04184883,-5.59633461,1.30372035,-0.40068921,-0.63893074,-0.36238225,0.53253835,-0.30248933,0.08120190,1.10304884,-0.59079923,0.17097936,0.44824815,-0.08452274,0.08160278,0.70669682,0.02980545,0.00820810,0.70684077,0.11013475,-0.05897857,-0.00000035,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.98000000,-7.04975463,-5.60917451,1.29648917,-0.38981726,-0.64509879,-0.36072391,0.55468483,-0.31431954,0.08463720,1.11139275,-0.59208828,0.17252051,0.38614096,-0.04441700,0.07250882,0.70666888,0.03100377,0.00857220,0.70681283,0.11085502,-0.05904337,-0.00000036,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.00000000,-7.05743856,-5.62214014,1.28929185,-0.37850079,-0.65150364,-0.35899657,0.57698578,-0.32616753,0.08810150,1.11849478,-0.59257756,0.17387964,0.32407893,-0.00455781,0.06340454,0.70663970,0.03220684,0.00894076,0.70678364,0.11144771,-0.05902676,-0.00000038,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.02000000,-7.06489168,-5.63523623,1.28212977,-0.36673696,-0.65814550,-0.35719968,0.59941636,-0.33801735,0.09159117,1.12435690,-0.59227267,0.17505672,0.26216635,0.03498935,0.05430535,0.70660929,0.03341320,0.00931345,0.70675323,0.11191349,-0.05892959,-0.00000039,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.04000000,-7.07210504,-5.64846754,1.27500433,-0.35452343,-0.66502424,-0.35533278,0.62195181,-0.34985319,0.09510256,1.12898310,-0.59118048,0.17605199,0.20050289,0.07416218,0.04522600,0.70657769,0.03462137,0.00968994,0.70672161,0.11225322,-0.05875283,-0.00000041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.06000000,-7.07906961,-5.66183878,1.26791693,-0.34185835,-0.67213943,-0.35339546,0.64456748,-0.36165937,0.09863204,1.13237932,-0.58930907,0.17686599,0.13918374,0.11290151,0.03618061,0.70654491,0.03582992,0.01006991,0.70668883,0.11246800,-0.05849761,-0.00000042,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.08000000,-7.08577635,-5.67535468,1.26086898,-0.32874036,-0.67949032,-0.35138740,0.66723884,-0.37342042,0.10217600,1.13455335,-0.58666768,0.17749953,0.07829970,0.15115124,0.02718268,0.70651100,0.03703741,0.01045302,0.70665491,0.11255911,-0.05816516,-0.00000043,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.10000000,-7.09221620,-5.68901996,1.25386191,-0.31516859,-0.68707584,-0.34930835,0.68994153,-0.38512102,0.10573083,1.13551478,-0.58326664,0.17795370,0.01793729,0.18885823,0.01824508,0.70647600,0.03824242,0.01083895,0.70661991,0.11252804,-0.05775683,-0.00000045,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.12000000,-7.09838007,-5.70283927,1.24689712,-0.30114265,-0.69489465,-0.34715812,0.71265142,-0.39674609,0.10929296,1.13527487,-0.57911731,0.17822982,-0.04182120,0.22597227,0.00938009,0.70643995,0.03944358,0.01122737,0.70658385,0.11237643,-0.05727407,-0.00000046,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.14000000,-7.10425888,-5.71681729,1.23997606,-0.28666265,-0.70294508,-0.34493660,0.73534460,-0.40828080,0.11285884,1.13384648,-0.57423202,0.17832946,-0.10089755,0.26244597,0.00059942,0.70640291,0.04063950,0.01161796,0.70654680,0.11210611,-0.05671843,-0.00000048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1.16000000,-7.10984355,-5.73095861,1.23310013,-0.27172914,-0.71122518,-0.34264376,0.75799745,-0.41971056,0.11642497,1.13124401,-0.56862404,0.17825443,-0.15921754,0.29823472,-0.00808582,0.70636492,0.04182885,0.01201038,0.70650881,0.11171905,-0.05609156,-0.00000049,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
